year,date,median,low,high
2019,2019-12-09,6.0,0,23
2019,2019-12-10,7.0,0,26
2019,2019-12-11,7.0,0,27
2019,2019-12-12,8.0,0,29
2019,2019-12-13,8.0,0,29
2019,2019-12-14,7.0,0,36
2019,2019-12-15,5.0,0,29
2019,2019-12-16,7.0,0,27
2019,2019-12-17,7.0,0,24
2019,2019-12-18,8.0,0,29
2019,2019-12-19,8.0,0,27
2019,2019-12-20,8.0,0,30
2019,2019-12-21,6.0,0,34
2019,2019-12-22,5.0,0,31
2019,2019-12-23,7.0,0,35
2019,2019-12-24,6.0,0,25
2019,2019-12-25,3.0,0,21
2019,2019-12-26,6.0,0,32
2019,2019-12-27,7.0,0,37
2019,2019-12-28,6.0,0,37
2019,2019-12-29,5.0,0,25
2019,2019-12-30,6.0,0,24
2019,2019-12-31,7.5,0,28
2020,2020-01-01,4.0,0,20
2020,2020-01-02,8.0,0,30
2020,2020-01-03,8.0,0,29
2020,2020-01-04,6.0,0,25
2020,2020-01-05,5.0,0,19
2020,2020-01-06,7.0,0,26
2020,2020-01-07,8.0,0,27
2020,2020-01-08,8.0,0,28
2020,2020-01-09,8.0,0,28
2020,2020-01-10,9.0,0,30
2020,2020-01-11,7.0,0,27
2020,2020-01-12,6.0,0,20
2020,2020-01-13,7.0,0,26
2020,2020-01-14,7.0,0,24
2020,2020-01-15,8.0,0,28
2020,2020-01-16,7.0,0,26
2020,2020-01-17,8.0,0,27
2020,2020-01-18,6.0,0,21
2020,2020-01-19,5.0,0,20
2020,2020-01-20,5.0,0,19
2020,2020-01-21,7.0,0,25
2020,2020-01-22,7.0,0,26
2020,2020-01-23,7.0,0,26
2020,2020-01-24,9.0,0,29
2020,2020-01-25,5.5,0,19
2020,2020-01-26,5.0,0,19
2020,2020-01-27,7.0,0,26
2020,2020-01-28,7.0,0,25
2020,2020-01-29,7.0,0,26
2020,2020-01-30,8.0,0,27
2020,2020-01-31,9.0,0,31
2020,2020-02-01,7.0,0,24
2020,2020-02-02,5.0,0,18
2020,2020-02-03,7.0,0,27
